components,quantile,accuracy,recall,precision,f1,time
1,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,7.78125
1,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,8.171875
1,0.01,0.9145141624460702,0.8333333333333334,0.5726256983240223,0.6788079470198676,8.1875
1,0.1,0.9121773931582873,0.9186991869918699,0.06314613020396759,0.11816993464052288,8.296875
3,0.01,0.9186073404065498,0.8414634146341463,0.5782122905027933,0.6854304635761589,216.34375
3,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,216.515625
3,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,216.53125
3,0.1,0.9060376262175678,0.9065040650406504,0.062307907236658286,0.1166013071895425,216.640625
2,0.1,0.9080842151978076,0.9105691056910569,0.06258731489242805,0.11712418300653595,249.421875
2,0.01,0.9186073404065498,0.8414634146341463,0.5782122905027933,0.6854304635761589,249.984375
2,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,249.90625
2,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,249.671875
4,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,384.671875
4,0.01,0.9206539293867897,0.8455284552845529,0.5810055865921788,0.6887417218543047,386.1875
4,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,394.765625
4,0.1,0.8958046813163687,0.8861788617886179,0.06091086895780944,0.11398692810457517,410.453125
5,0.1,0.9039910372373279,0.9024390243902439,0.06202849958088852,0.11607843137254902,1324.140625
5,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,1328.890625
7,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,1113.890625
5,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,1335.4375
7,0.01,0.867442615900554,0.7398373983739838,0.5083798882681564,0.6026490066225165,1115.625
6,0.001,0.5711241427270772,0.14227642276422764,0.9722222222222222,0.24822695035460995,1327.6875
6,0.0001,0.5101626016260162,0.02032520325203252,1.0,0.0398406374501992,1328.015625
7,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,1116.953125
5,0.01,0.9124675734658303,0.8292682926829268,0.5698324022346368,0.6754966887417218,1336.953125
7,0.1,0.9019444482570881,0.8983739837398373,0.06174909192511875,0.11555555555555555,1116.953125
6,0.01,0.8899550946831922,0.7845528455284553,0.5391061452513967,0.6390728476821192,1334.6875
6,0.1,0.9080842151978076,0.9105691056910569,0.06258731489242805,0.11712418300653595,1334.78125
8,0.01,0.8080915354735989,0.6219512195121951,0.4273743016759777,0.5066225165562914,2464.03125
8,0.001,0.567016896111561,0.13414634146341464,0.8918918918918919,0.23321554770318026,2471.4375
8,0.1,0.8998978592768483,0.8943089430894309,0.06146968426934898,0.1150326797385621,2483.390625
8,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,2506.8125
9,0.001,0.5567980198653985,0.11382113821138211,0.7777777777777778,0.19858156028368795,2907.1875
9,0.01,0.8265108362957574,0.6585365853658537,0.45251396648044695,0.5364238410596026,2957.5
9,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,2970.109375
9,0.1,0.8917115033558889,0.8780487804878049,0.06035205364626991,0.11294117647058824,2958.25
11,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,4150.3125
11,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,4157.296875
11,0.1,0.9060376262175678,0.9065040650406504,0.062307907236658286,0.1166013071895425,4162.90625
11,0.01,0.8572096709993549,0.7195121951219512,0.49441340782122906,0.5860927152317881,4200.75
10,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,5655.96875
10,0.1,0.8978512702966084,0.8902439024390244,0.06119027661357921,0.11450980392156862,5659.75
10,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,5668.859375
10,0.01,0.9001880395843913,0.8048780487804879,0.553072625698324,0.6556291390728477,5701.5625
13,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,4933.703125
13,0.01,0.8776755608017532,0.7601626016260162,0.5223463687150838,0.6192052980132451,4924.546875
13,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,4949.390625
13,0.1,0.9039910372373279,0.9024390243902439,0.06202849958088852,0.11607843137254902,4958.234375
14,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,6085.578125
14,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,6121.734375
14,0.01,0.867442615900554,0.7398373983739838,0.5083798882681564,0.6026490066225165,6221.78125
14,0.1,0.8978512702966084,0.8902439024390244,0.06119027661357921,0.11450980392156862,6211.46875
15,0.01,0.8715357938610337,0.7479674796747967,0.5139664804469274,0.609271523178808,7622.0625
15,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,7665.6875
15,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,7675.328125
15,0.1,0.9019444482570881,0.8983739837398373,0.06174909192511875,0.11555555555555555,7634.8125
12,0.01,0.8183244803747982,0.6422764227642277,0.441340782122905,0.5231788079470199,12208.65625
12,0.1,0.9080842151978076,0.9105691056910569,0.06258731489242805,0.11712418300653595,12237.71875
12,0.001,0.5608911978258782,0.12195121951219512,0.8333333333333334,0.21276595744680848,12342.921875
12,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,12347.953125
20,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,6612.34375
20,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,6637.578125
20,0.01,0.8694892048807938,0.7439024390243902,0.5111731843575419,0.6059602649006622,6566.25
20,0.1,0.9039910372373279,0.9024390243902439,0.06202849958088852,0.11607843137254902,6652.59375
18,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,11709.25
18,0.001,0.5711241427270772,0.14227642276422764,0.9722222222222222,0.24822695035460995,11756.515625
18,0.01,0.9022346285646312,0.8089430894308943,0.5558659217877095,0.6589403973509934,11670.0625
18,0.1,0.9019444482570881,0.8983739837398373,0.06174909192511875,0.11555555555555555,11718.265625
16,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,14490.953125
16,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,14495.46875
16,0.01,0.8694892048807938,0.7439024390243902,0.5111731843575419,0.6059602649006622,14528.328125
16,0.1,0.9039910372373279,0.9024390243902439,0.06202849958088852,0.11607843137254902,14498.578125
17,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,14165.875
17,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,14179.90625
17,0.01,0.9022346285646312,0.8089430894308943,0.5558659217877095,0.6589403973509934,14184.921875
17,0.1,0.9039910372373279,0.9024390243902439,0.06202849958088852,0.11607843137254902,14154.953125
19,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,8874.671875
19,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,8839.140625
19,0.01,0.8613028489598346,0.7276422764227642,0.5,0.5927152317880795,8835.34375
19,0.1,0.9019444482570881,0.8983739837398373,0.06174909192511875,0.11555555555555555,8835.1875
