kernel,bandwidth,quantile,accuracy,recall,precision,f1,time
tophat,0.5,0.1,0.7509495770253144,0.8577235772357723,0.016411293458816208,0.03220636495459055,2.921875
tophat,1.0,0.01,0.7508084329577116,0.7195121951219512,0.02234566342633506,0.043345169584914904,939.203125
tophat,1.0,0.0001,0.7508084329577116,0.7195121951219512,0.02234566342633506,0.043345169584914904,43.015625
tophat,6.0,0.0001,0.7205880469046672,0.44308943089430897,0.615819209039548,0.5153664302600472,43.0
tophat,5.0,0.0001,0.7499081534146799,0.5040650406504065,0.4509090909090909,0.4760076775431862,1967.28125
tophat,6.0,0.01,0.8469767260981558,0.6991869918699187,0.48044692737430167,0.5695364238410595,2833.828125
tophat,5.0,0.01,0.8121847134340787,0.6300813008130082,0.4329608938547486,0.5132450331125827,2833.84375
tophat,5.0,0.001,0.7499081534146799,0.5040650406504065,0.4509090909090909,0.4760076775431862,43.015625
tophat,0.5,0.01,0.7509495770253144,0.8577235772357723,0.016411293458816208,0.03220636495459055,2.21875
tophat,5.5,0.01,0.8584543466425099,0.7235772357723578,0.42891566265060244,0.5385779122541604,2972.28125
tophat,0.5,0.001,0.7509495770253144,0.8577235772357723,0.016411293458816208,0.03220636495459055,939.21875
tophat,1.0,0.1,0.7508084329577116,0.7195121951219512,0.02234566342633506,0.043345169584914904,1.46875
tophat,0.5,0.0001,0.7509495770253144,0.8577235772357723,0.016411293458816208,0.03220636495459055,939.21875
tophat,6.0,0.001,0.7205880469046672,0.44308943089430897,0.615819209039548,0.5153664302600472,1998.0
tophat,1.0,0.001,0.7508084329577116,0.7195121951219512,0.02234566342633506,0.043345169584914904,2833.84375
tophat,5.5,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,23.0
tophat,5.5,0.001,0.7484524479459764,0.5,0.5278969957081545,0.5135699373695198,2972.875
tophat,5.5,0.0001,0.7484524479459764,0.5,0.5278969957081545,0.5135699373695198,2833.84375
tophat,6.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,1997.953125
tophat,5.0,0.1,0.9101167355230109,0.9146341463414634,0.06284916201117319,0.11761630946157867,5765.78125
tophat,8.0,0.0001,0.6500829249991994,0.3008130081300813,0.7628865979381443,0.4314868804664723,2931.875
tophat,7.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,1935.75
tophat,7.0,0.001,0.6946154796381954,0.3902439024390244,0.7272727272727273,0.5079365079365079,1.3125
tophat,7.0,0.01,0.8590874361191558,0.7235772357723578,0.4810810810810811,0.577922077922078,989.078125
tophat,8.0,0.001,0.6500829249991994,0.3008130081300813,0.7628865979381443,0.4314868804664723,1936.78125
tophat,7.0,0.0001,0.6946154796381954,0.3902439024390244,0.7272727272727273,0.5079365079365079,1.3125
tophat,9.0,0.0001,0.6258052303370529,0.25203252032520324,0.8051948051948052,0.38390092879256965,994.578125
tophat,8.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,0.609375
tophat,8.0,0.01,0.8775911488715338,0.7601626016260162,0.5137362637362637,0.6131147540983606,1.203125
epanechnikov,0.5,0.1,0.7039250403758961,0.7154471544715447,0.01584443644220382,0.031002289941870712,33.28125
epanechnikov,0.5,0.01,0.7039250403758961,0.7154471544715447,0.01584443644220382,0.031002289941870712,1013.609375
epanechnikov,0.5,0.001,0.7039250403758961,0.7154471544715447,0.01584443644220382,0.031002289941870712,1914.4375
tophat,9.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,995.109375
epanechnikov,0.5,0.0001,0.7039250403758961,0.7154471544715447,0.01584443644220382,0.031002289941870712,3876.578125
tophat,9.0,0.01,0.9083603268503141,0.8211382113821138,0.5626740947075209,0.6677685950413224,996.578125
epanechnikov,1.0,0.01,0.716221616774412,0.6382113821138211,0.021017402945113787,0.04069466044582685,259.296875
tophat,9.0,0.001,0.6258052303370529,0.25203252032520324,0.8051948051948052,0.38390092879256965,995.828125
epanechnikov,1.0,0.001,0.716221616774412,0.6382113821138211,0.021017402945113787,0.04069466044582685,65.25
epanechnikov,1.0,0.0001,0.716221616774412,0.6382113821138211,0.021017402945113787,0.04069466044582685,65.84375
epanechnikov,1.0,0.1,0.716221616774412,0.6382113821138211,0.021017402945113787,0.04069466044582685,259.328125
epanechnikov,5.0,0.001,0.7501895265154115,0.5040650406504065,0.48627450980392156,0.4950099800399202,1.234375
epanechnikov,5.0,0.1,0.9101308041780474,0.9146341463414634,0.06286672254819782,0.11764705882352941,932.4375
epanechnikov,5.5,0.001,0.7081678264728624,0.4186991869918699,0.5508021390374331,0.47575057736720555,1918.75
epanechnikov,5.0,0.01,0.8203710693550379,0.6463414634146342,0.4441340782122905,0.5264900662251656,1871.8125
epanechnikov,5.0,0.0001,0.7501895265154115,0.5040650406504065,0.48627450980392156,0.4950099800399202,0.609375
epanechnikov,5.5,0.0001,0.7081678264728624,0.4186991869918699,0.5508021390374331,0.47575057736720555,2796.390625
epanechnikov,6.0,0.001,0.7044122962332606,0.4105691056910569,0.6196319018404908,0.49388753056234713,1923.59375
epanechnikov,5.5,0.01,0.8387903701771964,0.6829268292682927,0.4692737430167598,0.5562913907284769,0.828125
epanechnikov,6.0,0.01,0.8408369591574363,0.6869918699186992,0.4720670391061452,0.5596026490066225,1921.96875
epanechnikov,6.0,0.0001,0.7044122962332606,0.4105691056910569,0.6196319018404908,0.49388753056234713,1923.59375
epanechnikov,7.0,0.001,0.6560679367345165,0.3130081300813008,0.7129629629629629,0.4350282485875706,1056.65625
epanechnikov,7.0,0.0001,0.6560679367345165,0.3130081300813008,0.7129629629629629,0.4350282485875706,1015.21875
epanechnikov,6.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,3128.921875
epanechnikov,5.5,0.1,0.9101308041780474,0.9146341463414634,0.06286672254819782,0.11764705882352941,1.640625
epanechnikov,7.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,1105.9375
epanechnikov,7.0,0.01,0.8510699040586354,0.7073170731707317,0.4860335195530726,0.5761589403973508,1105.4375
epanechnikov,8.0,0.001,0.6237867786668863,0.24796747967479674,0.8133333333333334,0.38006230529595014,0.65625
epanechnikov,8.0,0.0001,0.6237867786668863,0.24796747967479674,0.8133333333333334,0.38006230529595014,1.28125
epanechnikov,8.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,2169.890625
epanechnikov,8.0,0.01,0.8653960269203143,0.7357723577235772,0.505586592178771,0.5993377483443708,1090.78125
epanechnikov,9.0,0.0001,0.5912664534636343,0.18292682926829268,0.7627118644067796,0.2950819672131148,0.75
epanechnikov,9.0,0.001,0.5912664534636343,0.18292682926829268,0.7627118644067796,0.2950819672131148,1118.5625
exponential,0.5,0.0001,0.5060834923205731,0.012195121951219513,0.75,0.024000000000000004,1124.5
epanechnikov,9.0,0.01,0.8776755608017532,0.7601626016260162,0.5223463687150838,0.6192052980132451,1121.625
exponential,0.5,0.001,0.5588446088456382,0.11788617886178862,0.8055555555555556,0.20567375886524822,3351.125
epanechnikov,9.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1123.96875
exponential,0.5,0.01,0.8510699040586354,0.7073170731707317,0.4860335195530726,0.5761589403973508,3322.84375
exponential,1.0,0.0001,0.5040369033403334,0.008130081300813009,0.5,0.016,1.21875
exponential,0.5,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1107.453125
exponential,1.0,0.001,0.5486116639444392,0.0975609756097561,0.6666666666666666,0.1702127659574468,1101.21875
exponential,5.0,0.01,0.7732995228095219,0.5528455284552846,0.37988826815642457,0.4503311258278146,660.84375
exponential,1.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,661.125
exponential,5.0,0.001,0.5486116639444392,0.0975609756097561,0.6666666666666666,0.1702127659574468,0.546875
exponential,5.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,3700.421875
exponential,1.0,0.01,0.8224176583352778,0.6504065040650406,0.44692737430167595,0.5298013245033112,1630.75
exponential,5.5,0.01,0.7732995228095219,0.5528455284552846,0.37988826815642457,0.4503311258278146,1.3125
exponential,5.5,0.0001,0.4999437253798537,0.0,0.0,0.0,0.484375
exponential,5.0,0.0001,0.4999437253798537,0.0,0.0,0.0,661.125
exponential,5.5,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,2140.578125
exponential,5.5,0.001,0.5486116639444392,0.0975609756097561,0.6666666666666666,0.1702127659574468,0.875
exponential,6.0,0.001,0.5465650749641993,0.09349593495934959,0.6388888888888888,0.1631205673758865,1194.375
exponential,6.0,0.0001,0.4999437253798537,0.0,0.0,0.0,0.46875
exponential,6.0,0.01,0.7732995228095219,0.5528455284552846,0.37988826815642457,0.4503311258278146,2346.984375
exponential,6.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1153.203125
exponential,7.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1169.828125
exponential,7.0,0.01,0.7732995228095219,0.5528455284552846,0.37988826815642457,0.4503311258278146,1169.34375
exponential,7.0,0.0001,0.4999437253798537,0.0,0.0,0.0,0.578125
exponential,8.0,0.0001,0.4999437253798537,0.0,0.0,0.0,3473.515625
exponential,7.0,0.001,0.5465650749641993,0.09349593495934959,0.6388888888888888,0.1631205673758865,1169.34375
exponential,8.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1174.578125
exponential,9.0,0.001,0.5465650749641993,0.09349593495934959,0.6388888888888888,0.1631205673758865,1150.671875
exponential,8.0,0.001,0.5465650749641993,0.09349593495934959,0.6388888888888888,0.1631205673758865,1140.296875
exponential,8.0,0.01,0.7732995228095219,0.5528455284552846,0.37988826815642457,0.4503311258278146,2367.140625
exponential,9.0,0.01,0.7732995228095219,0.5528455284552846,0.37988826815642457,0.4503311258278146,1151.375
exponential,9.0,0.0001,0.4999437253798537,0.0,0.0,0.0,1156.046875
linear,0.5,0.0001,0.7293704334060787,0.7642276422764228,0.01702127659574468,0.03330085909131167,1154.640625
linear,0.5,0.001,0.7293704334060787,0.7642276422764228,0.01702127659574468,0.03330085909131167,1154.65625
linear,0.5,0.01,0.7293704334060787,0.7642276422764228,0.01702127659574468,0.03330085909131167,71.328125
linear,0.5,0.1,0.7293704334060787,0.7642276422764228,0.01702127659574468,0.03330085909131167,34.109375
exponential,9.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1156.4375
linear,1.0,0.001,0.7306321515663102,0.6666666666666666,0.02197213290460879,0.042542153047989625,1.28125
linear,1.0,0.0001,0.7306321515663102,0.6666666666666666,0.02197213290460879,0.042542153047989625,0.734375
linear,5.0,0.0001,0.7318546376234725,0.46747967479674796,0.46184738955823296,0.46464646464646464,135.203125
linear,1.0,0.01,0.7306321515663102,0.6666666666666666,0.02197213290460879,0.042542153047989625,0.4375
linear,5.5,0.0001,0.7159321227427243,0.4349593495934959,0.4930875576036866,0.46220302375809935,941.890625
linear,5.0,0.001,0.7318546376234725,0.46747967479674796,0.46184738955823296,0.46464646464646464,940.625
linear,1.0,0.1,0.7306321515663102,0.6666666666666666,0.02197213290460879,0.042542153047989625,135.734375
linear,5.5,0.001,0.7159321227427243,0.4349593495934959,0.4930875576036866,0.46220302375809935,938.515625
linear,5.0,0.01,0.8162778913945583,0.6382113821138211,0.43854748603351956,0.5198675496688743,1897.765625
linear,5.0,0.1,0.9101308041780474,0.9146341463414634,0.06286672254819782,0.11764705882352941,959.203125
linear,6.0,0.0001,0.6880958590114883,0.3780487804878049,0.5849056603773585,0.45925925925925926,1.6875
linear,5.5,0.1,0.9101308041780474,0.9146341463414634,0.06286672254819782,0.11764705882352941,1.171875
linear,5.5,0.01,0.8387903701771964,0.6829268292682927,0.4692737430167598,0.5562913907284769,1.71875
linear,6.0,0.01,0.8408369591574363,0.6869918699186992,0.4720670391061452,0.5596026490066225,1.296875
linear,6.0,0.001,0.6880958590114883,0.3780487804878049,0.5849056603773585,0.45925925925925926,0.65625
linear,7.0,0.001,0.6500125817240164,0.3008130081300813,0.7254901960784313,0.42528735632183906,1119.8125
linear,6.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,2094.59375
linear,7.0,0.01,0.8551630820191151,0.7154471544715447,0.49162011173184356,0.5827814569536424,2237.53125
linear,7.0,0.0001,0.6500125817240164,0.3008130081300813,0.7254901960784313,0.42528735632183906,2093.96875
linear,8.0,0.001,0.6196513947412968,0.23983739837398374,0.7564102564102564,0.36419753086419754,1212.453125
linear,8.0,0.0001,0.6196513947412968,0.23983739837398374,0.7564102564102564,0.36419753086419754,1146.15625
linear,9.0,0.0001,0.6115775880606302,0.22357723577235772,0.7857142857142857,0.34810126582278483,1178.078125
linear,7.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,1118.921875
linear,8.0,0.01,0.8653960269203143,0.7357723577235772,0.505586592178771,0.5993377483443708,0.6875
linear,8.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,1.296875
linear,9.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1193.71875
linear,9.0,0.001,0.6115775880606302,0.22357723577235772,0.7857142857142857,0.34810126582278483,3497.734375
linear,9.0,0.01,0.8817687387622328,0.7682926829268293,0.5279329608938548,0.6258278145695365,1186.921875
cosine,0.5,0.0001,0.7121395336069286,0.7317073170731707,0.01620745542949757,0.03171247357293869,1193.421875
cosine,0.5,0.001,0.7121395336069286,0.7317073170731707,0.01620745542949757,0.03171247357293869,1232.109375
cosine,0.5,0.1,0.7121395336069286,0.7317073170731707,0.01620745542949757,0.03171247357293869,1.40625
cosine,1.0,0.001,0.7475535409546554,0.6991869918699187,0.023164983164983166,0.044844218485204014,68.28125
cosine,0.5,0.01,0.7121395336069286,0.7317073170731707,0.01620745542949757,0.03171247357293869,0.765625
cosine,1.0,0.0001,0.7475535409546554,0.6991869918699187,0.023164983164983166,0.044844218485204014,68.4375
cosine,5.0,0.0001,0.7218045852377488,0.44715447154471544,0.4661016949152542,0.45643153526970953,142.359375
cosine,1.0,0.01,0.7475535409546554,0.6991869918699187,0.023164983164983166,0.044844218485204014,0.640625
cosine,5.5,0.0001,0.7139418083826308,0.43089430894308944,0.49765258215962443,0.46187363834422657,1929.671875
cosine,5.0,0.1,0.9101308041780474,0.9146341463414634,0.06286672254819782,0.11764705882352941,932.546875
cosine,1.0,0.1,0.7475535409546554,0.6991869918699187,0.023164983164983166,0.044844218485204014,141.828125
cosine,5.0,0.001,0.7218045852377488,0.44715447154471544,0.4661016949152542,0.45643153526970953,1247.484375
cosine,5.5,0.001,0.7139418083826308,0.43089430894308944,0.49765258215962443,0.46187363834422657,1000.734375
cosine,5.5,0.01,0.8387903701771964,0.6829268292682927,0.4692737430167598,0.5562913907284769,1046.046875
cosine,5.0,0.01,0.8101381244538388,0.6260162601626016,0.4301675977653631,0.509933774834437,2037.6875
cosine,5.5,0.1,0.9101308041780474,0.9146341463414634,0.06286672254819782,0.11764705882352941,1027.0625
cosine,6.0,0.0001,0.6698594507048053,0.34146341463414637,0.5753424657534246,0.4285714285714286,2064.21875
cosine,6.0,0.001,0.6698594507048053,0.34146341463414637,0.5753424657534246,0.4285714285714286,0.625
cosine,6.0,0.01,0.8408369591574363,0.6869918699186992,0.4720670391061452,0.5596026490066225,1068.34375
cosine,7.0,0.0001,0.6743465510063091,0.34959349593495936,0.7288135593220338,0.4725274725274726,2207.4375
cosine,6.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1.078125
cosine,7.0,0.001,0.6743465510063091,0.34959349593495936,0.7288135593220338,0.4725274725274726,0.65625
cosine,8.0,0.001,0.6278236820072196,0.25609756097560976,0.7974683544303798,0.3876923076923077,1161.296875
cosine,7.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,1179.578125
cosine,7.0,0.01,0.8531164930388753,0.7113821138211383,0.4888268156424581,0.5794701986754968,0.640625
cosine,9.0,0.0001,0.5994668780396302,0.1991869918699187,0.8448275862068966,0.3223684210526316,2529.40625
cosine,8.0,0.01,0.8653960269203143,0.7357723577235772,0.505586592178771,0.5993377483443708,0.515625
cosine,9.0,0.001,0.5994668780396302,0.1991869918699187,0.8448275862068966,0.3223684210526316,2529.515625
cosine,8.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,0.953125
cosine,9.0,0.01,0.8756289718215133,0.7560975609756098,0.5195530726256983,0.6158940397350994,2568.96875
cosine,9.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1285.671875
