gamma,nu,accuracy,recall,precision,f1,time
0.01,0.0001,0.5365572285435853,0.07317073170731707,0.9,0.13533834586466167,23.859375
0.001,0.0001,0.5060553550105,0.012195121951219513,0.5,0.023809523809523808,33.578125
0.01,0.001,0.5888540794524434,0.17886178861788618,0.5176470588235295,0.26586102719033233,310.875
0.001,0.001,0.5075673350993499,0.016260162601626018,0.09090909090909091,0.027586206896551727,363.28125
0.001,0.007,0.5143253222065142,0.036585365853658534,0.030927835051546393,0.0335195530726257,3098.171875
0.02,0.0001,0.4999718626899268,0.0,0.0,0.0,31.09375
0.02,0.001,0.647853443503484,0.2967479674796748,0.6636363636363637,0.4101123595505618,275.359375
0.001,0.01,0.5127214955323441,0.036585365853658534,0.022222222222222223,0.027649769585253458,4535.546875
0.001,0.005,0.5154226772993672,0.036585365853658534,0.04225352112676056,0.039215686274509796,11211.28125
0.02,0.005,0.7922112265579606,0.5894308943089431,0.44891640866873067,0.5096660808435853,8544.140625
0.02,0.02,0.7899942124069524,0.6016260162601627,0.1613958560523446,0.2545141874462597,9738.859375
0.01,0.05,0.7644967767910655,0.5813008130081301,0.07142857142857142,0.12722419928825623,22201.546875
0.01,0.01,0.7121617231929213,0.4349593495934959,0.22061855670103092,0.29274965800273595,23258.640625
0.02,0.007,0.7567861244172375,0.5203252032520326,0.34782608695652173,0.4169381107491857,34598.53125
0.01,0.1,0.7797251236440332,0.6626016260162602,0.04256986158265866,0.08,39665.8125
0.02,0.05,0.7888026087632851,0.6300813008130082,0.07673267326732673,0.13680494263018533,21981.625
0.01,0.02,0.7493438059028874,0.5203252032520326,0.1426978818283166,0.2239720034995626,45583.90625
0.03,0.0001,0.4999718626899268,0.0,0.0,0.0,30.453125
0.03,0.001,0.6681364407904068,0.33739837398373984,0.6747967479674797,0.44986449864498645,260.3125
0.001,0.02,0.5157727923649523,0.052845528455284556,0.016883116883116882,0.025590551181102362,49647.96875
0.03,0.007,0.7566735751769449,0.5203252032520326,0.3404255319148936,0.4115755627009647,6957.734375
0.02,0.1,0.7982851110165576,0.6991869918699187,0.04503796805446452,0.08462484624846249,38095.375
0.03,0.005,0.8045751723696191,0.6138211382113821,0.47634069400630913,0.536412078152753,31135.78125
0.02,0.01,0.7712877051392911,0.5528455284552846,0.2714570858283433,0.3641231593038822,69125.828125
0.03,0.02,0.7798175421258996,0.5813008130081301,0.1566265060240964,0.2467644521138913,25607.046875
0.01,0.005,0.7008462925090703,0.4065040650406504,0.36900369003690037,0.3868471953578337,92385.34375
0.001,0.05,0.5156363378490285,0.08130081300813008,0.011123470522803115,0.019569471624266144,96308.125
0.01,0.3,0.7631006629424764,0.8292682926829268,0.0185876993166287,0.03636039568665894,95486.359375
0.01,0.007,0.6733261731885749,0.35365853658536583,0.25892857142857145,0.29896907216494845,99841.09375
0.5,0.0001,0.49998593134496344,0.0,0.0,0.0,27.25
0.5,0.001,0.5015682547089961,0.0040650406504065045,0.029411764705882353,0.007142857142857143,277.828125
0.5,0.005,0.5054851741539362,0.016260162601626018,0.020833333333333332,0.0182648401826484,7939.34375
0.001,0.1,0.5000110947929963,0.1016260162601626,0.006875687568756876,0.012879958784131892,109813.46875
0.03,0.05,0.770777230282151,0.5934959349593496,0.07329317269076305,0.13047363717605004,37542.171875
0.03,0.1,0.7763353784353826,0.6544715447154471,0.04260386345594073,0.08,34293.171875
0.02,0.3,0.7535008075179233,0.8089430894308943,0.0182067703568161,0.03561202576950609,89936.15625
0.03,0.01,0.7670960465935555,0.5447154471544715,0.2637795275590551,0.35543766578249336,59835.6875
0.01,0.9,0.5268544317407159,0.9552845528455285,0.007280726213712551,0.014451311379639023,120047.375
0.5,0.007,0.49848721925598544,0.0040650406504065045,0.003952569169960474,0.004008016032064129,28724.125
0.01,0.5,0.691816617941081,0.8821138211382114,0.012100596665365526,0.023873700423565652,135687.78125
0.5,0.02,0.5122564292609724,0.044715447154471545,0.015089163237311385,0.022564102564102562,30025.0625
1.0,0.0001,0.49998593134496344,0.0,0.0,0.0,24.65625
1.0,0.001,0.49939504783342714,0.0,0.0,0.0,361.34375
0.01,0.7,0.6134849774215244,0.926829268292683,0.009083303454045656,0.017990294709433072,143294.875
0.5,0.01,0.49461170512099045,0.0,0.0,0.0,41571.4375
1.0,0.01,0.49967562027899404,0.008130081300813009,0.006369426751592357,0.0071428571428571435,8458.921875
0.02,0.5,0.6747760453125071,0.8455284552845529,0.011662461452200729,0.023007577014545654,120212.015625
0.02,0.9,0.48963597641041123,0.8821138211382114,0.0067174343734522045,0.013333333333333334,111553.265625
1.0,0.007,0.49637028700056274,0.0,0.0,0.0,17720.65625
1.0,0.005,0.49728474957794033,0.0,0.0,0.0,26215.109375
0.03,0.3,0.7313541137662362,0.7642276422764228,0.017241379310344827,0.0337219730941704,83263.609375
0.5,0.05,0.5269592031879801,0.10569105691056911,0.013933547695605574,0.024621212121212124,59726.1875
0.001,0.9,0.5305048473951256,0.959349593495935,0.007337623977862762,0.014563855719090378,169978.9375
2.0,0.0001,0.5,0.0,0.0,0.0,25.765625
2.0,0.001,0.49952166572875634,0.0,0.0,0.0,319.890625
0.02,0.7,0.5807536223927237,0.8617886178861789,0.00844621513944223,0.016728477866329992,135362.71875
2.0,0.005,0.4974676420934159,0.0,0.0,0.0,4692.8125
0.001,0.3,0.4721970206477529,0.24796747967479674,0.005622119815668203,0.01099495313626532,183316.734375
2.0,0.007,0.4965813168261114,0.0,0.0,0.0,2667.46875
1.0,0.05,0.5144405021709193,0.08130081300813008,0.010621348911311737,0.018788163457022077,34450.28125
0.5,0.1,0.5323203901706997,0.16666666666666666,0.011180801745295883,0.020955788397648865,84531.484375
1.0,0.1,0.5057288020826185,0.11382113821138211,0.007637752318603383,0.014314928425357873,43731.921875
1.0,0.02,0.5064683786961673,0.032520325203252036,0.011363636363636364,0.016842105263157898,53384.0
0.03,0.5,0.6437536315430683,0.7845528455284553,0.010807481240900437,0.021321254971277067,117350.875
0.03,0.9,0.445244108321781,0.7926829268292683,0.0060448247000836975,0.011998154130133826,107945.546875
0.001,0.5,0.4702644678388258,0.44308943089430897,0.006065664997217585,0.011967501097935878,214103.40625
2.0,0.01,0.4953573438379291,0.0,0.0,0.0,34350.671875
2.0,0.05,0.4981803395692933,0.04878048780487805,0.0064,0.011315417256011316,34069.203125
0.5,0.3,0.4982614344995448,0.2967479674796748,0.006795122405287164,0.013286013286013285,103930.90625
0.03,0.7,0.5584381047805975,0.8170731707317073,0.008012437215977039,0.015869256276646142,125034.078125
2.0,0.02,0.49226887372981776,0.0040650406504065045,0.0014388489208633094,0.0021253985122210413,38364.875
0.001,0.7,0.457655407167465,0.6219512195121951,0.006055329085368267,0.01199388547015247,224133.984375
1.0,0.3,0.4837102131572807,0.2682926829268293,0.006134399107723766,0.011994547932757837,60940.109375
2.0,0.1,0.5015512121919193,0.10569105691056911,0.007080610021786492,0.013272077590607452,32226.984375
0.5,0.9,0.34330858165081374,0.5894308943089431,0.004498774471781825,0.00892939618807156,94494.859375
1.0,0.9,0.3396233946863948,0.5813008130081301,0.004440717967828085,0.008814102564102564,62115.515625
2.0,0.3,0.47755637756152464,0.25609756097560976,0.005855018587360595,0.011448300926767218,39129.90625
2.0,0.9,0.34159964039145174,0.5853658536585366,0.004471077716024467,0.008874372168982837,25622.703125
0.5,0.7,0.40986715987024813,0.5203252032520326,0.005114476365525233,0.010129387092945042,105027.0
0.5,0.5,0.47051770362948425,0.44308943089430897,0.00607174688057041,0.011979338388833938,111931.046875
2.0,0.5,0.43519108207401713,0.37398373983739835,0.005113952195664258,0.010089932002632156,32672.609375
2.0,0.7,0.38115863952674417,0.4634146341463415,0.004554352602772562,0.00902005776001899,29304.984375
1.0,0.7,0.38989367299413,0.4796747967479675,0.004721510883482715,0.009350978682938426,69628.171875
1.0,0.5,0.44346184992519594,0.3902439024390244,0.005338078291814947,0.010532089961601756,73326.359375
